epNum,airDate,extra_info,round_name,coord,category,order,value,daily_double,question,answer,correctAttempts,wrongAttempts
261,1985-09-09,First game of Season 2. Returning champions (for this week...,Jeopardy,"(1, 1)",PRESIDENTIAL TRIVIA,1,"(100,)",False,"At various times, he & all 5 of his brothers were nicknamed ""Ike""",Dwight D. Eisenhower,1,0
261,1985-09-09,First game of Season 2. Returning champions (for this week...,Jeopardy,"(2, 1)",DOGS IN LITERATURE,15,"(100,)",False,Sherlock Holmes novel about a devilish dog,The Hound of the Baskervilles,1,0
261,1985-09-09,First game of Season 2. Returning champions (for this week...,Jeopardy,"(3, 1)",FOREIGN CUISINE,7,"(100,)",False,"No matter how you slice it, it's ""brot"" in German",bread,0,3
261,1985-09-09,First game of Season 2. Returning champions (for this week...,Jeopardy,"(5, 1)",CARTOONS,6,"(100,)",False,The appropriately named Pepe Le Pew is this animal,skunk,1,0
261,1985-09-09,First game of Season 2. Returning champions (for this week...,Jeopardy,"(6, 1)",ALPHABETICALLY FIRST,19,"(100,)",False,"Alphabetically 1st of the days of the week, it's usually last of the work week",Friday,1,0
261,1985-09-09,First game of Season 2. Returning champions (for this week...,Jeopardy,"(1, 2)",PRESIDENTIAL TRIVIA,2,"(200,)",False,Springtime ritual started by Pres. Hayes on the White House lawn,Easter Egg Roll,1,0
261,1985-09-09,First game of Season 2. Returning champions (for this week...,Jeopardy,"(2, 2)",DOGS IN LITERATURE,16,"(200,)",False,He knocked over the screen concealing the Wizard of Oz,Toto,1,0
261,1985-09-09,First game of Season 2. Returning champions (for this week...,Jeopardy,"(3, 2)",FOREIGN CUISINE,8,"(200,)",False,"From the Latin meaning ""to serve"", it's the soup that starts an Italian meal",minestrone,0,3
261,1985-09-09,First game of Season 2. Returning champions (for this week...,Jeopardy,"(5, 2)",CARTOONS,10,"(200,)",False,"This super hero was originally called ""Super Mouse""",Mighty Mouse,1,1
261,1985-09-09,First game of Season 2. Returning champions (for this week...,Jeopardy,"(1, 3)",PRESIDENTIAL TRIVIA,3,"(300,)",False,"For the presidential portraits, Gilbert Stuart stuffed his sunken cheeks with cotton",George Washington,1,0
261,1985-09-09,First game of Season 2. Returning champions (for this week...,Jeopardy,"(2, 3)",DOGS IN LITERATURE,20,"(300,)",False,"In this book, Nick Charles' Asta is a schnauzer, but in films was played by a wire-haired terrier",The Thin Man,1,0
261,1985-09-09,First game of Season 2. Returning champions (for this week...,Jeopardy,"(3, 3)",FOREIGN CUISINE,9,"(300,)",False,"Cookie from northern France made of sugar, egg white & almonds; it got its name from Italian for macaroni",macaroon,1,0
261,1985-09-09,First game of Season 2. Returning champions (for this week...,Jeopardy,"(5, 3)",CARTOONS,11,"(300,)",False,Name of George of the Jungle's pet ape,Ape,0,3
261,1985-09-09,First game of Season 2. Returning champions (for this week...,Jeopardy,"(1, 4)",PRESIDENTIAL TRIVIA,4,"(500,)",True,"(Audio -- musical clue)President who preferred Chopin's waltzes to this, his musical ""trademark"":",Harry S. Truman,1,0
261,1985-09-09,First game of Season 2. Returning champions (for this week...,Jeopardy,"(2, 4)",DOGS IN LITERATURE,21,"(400,)",False,"Garryowen is the ""bloody mangy mongrel"" in the ""Cyclops"" episode of this James Joyce novel",Ulysses,1,0
261,1985-09-09,First game of Season 2. Returning champions (for this week...,Jeopardy,"(3, 4)",FOREIGN CUISINE,14,"(400,)",False,"The distinctive starchy ingredient in Chinese dishes with ""mein"" in the name",noodles,1,0
261,1985-09-09,First game of Season 2. Returning champions (for this week...,Jeopardy,"(5, 4)",CARTOONS,12,"(400,)",False,"Though he never married, Paramount's Popeye had this many ""nephews"" who all looked just like him",4,1,1
261,1985-09-09,First game of Season 2. Returning champions (for this week...,Jeopardy,"(6, 4)",ALPHABETICALLY FIRST,22,"(400,)",False,"Alphabetically 1st of the planets, it can be seen without a telescope",Earth,1,0
261,1985-09-09,First game of Season 2. Returning champions (for this week...,Jeopardy,"(1, 5)",PRESIDENTIAL TRIVIA,5,"(500,)",False,"In 1908, 5 years before getting the job, he wrote a book titled ""The President of the United States""",Woodrow Wilson,1,0
261,1985-09-09,First game of Season 2. Returning champions (for this week...,Jeopardy,"(3, 5)",FOREIGN CUISINE,17,"(500,)",False,"Tropical fruit called ""The Fruit of India"", it's the main ingredient in a popular chutney",mango,0,3
261,1985-09-09,First game of Season 2. Returning champions (for this week...,Jeopardy,"(5, 5)",CARTOONS,13,"(500,)",False,"Helen Kane sued Max Fleischer, claiming this character's name & voice were copied from her",Betty Boop,1,0
261,1985-09-09,First game of Season 2. Returning champions (for this week...,Jeopardy,"(6, 5)",ALPHABETICALLY FIRST,18,"(500,)",False,"Alphabetically the 1st signer of the Declaration of Independence, he's also first alphabetically of presidents",John Adams,1,0
261,1985-09-09,First game of Season 2. Returning champions (for this week...,Double Jeopardy,"(1, 1)",FASHION DESIGNERS,19,"(200,)",False,"His ""signature"" is an elegantly scripted YSL",Yves Saint Laurent,1,0
261,1985-09-09,First game of Season 2. Returning champions (for this week...,Double Jeopardy,"(2, 1)",THE RENAISSANCE,26,"(200,)",False,"The term ""renaissance"" is from a French word meaning this",rebirth,1,0
261,1985-09-09,First game of Season 2. Returning champions (for this week...,Double Jeopardy,"(3, 1)",4-LETTER WORDS,23,"(200,)",False,"A Marine Corps camp, or appropriate footwear for one",boot,1,0
261,1985-09-09,First game of Season 2. Returning champions (for this week...,Double Jeopardy,"(4, 1)",LAW,13,"(200,)",False,Use of reasonable force to protect oneself is called this,self-defense,1,0
261,1985-09-09,First game of Season 2. Returning champions (for this week...,Double Jeopardy,"(5, 1)",NEW ENGLAND,5,"(200,)",False,This New England state is about the same size as the other 5 combined,Maine,1,0
261,1985-09-09,First game of Season 2. Returning champions (for this week...,Double Jeopardy,"(6, 1)",GHOSTS,9,"(200,)",False,"In the U.S., it's traditionally the best night of the year to see ghosts",Halloween,1,0
261,1985-09-09,First game of Season 2. Returning champions (for this week...,Double Jeopardy,"(1, 2)",FASHION DESIGNERS,18,"(400,)",False,"This American costumer revealed the mysteries of Cher's navel weekly on ""The Sonny & Cher Show""",Bob Mackie,1,0
261,1985-09-09,First game of Season 2. Returning champions (for this week...,Double Jeopardy,"(2, 2)",THE RENAISSANCE,27,"(400,)",False,"A 1490 census of Rome showed 15% of the female population registered in this ""profession""",prostitution,1,0
261,1985-09-09,First game of Season 2. Returning champions (for this week...,Double Jeopardy,"(3, 2)",4-LETTER WORDS,22,"(400,)",False,You try to do it to a putt or an enemy boat,sink,1,0
261,1985-09-09,First game of Season 2. Returning champions (for this week...,Double Jeopardy,"(4, 2)",LAW,10,"(400,)",False,"For only time in U.S. history, he had Congress suspend habeus corpus during the Civil War",Abraham Lincoln,1,0
261,1985-09-09,First game of Season 2. Returning champions (for this week...,Double Jeopardy,"(5, 2)",NEW ENGLAND,4,"(400,)",False,"Shortest state motto, ""Hope!"", appropriately belongs to this New England state",Rhode Island,1,0
261,1985-09-09,First game of Season 2. Returning champions (for this week...,Double Jeopardy,"(6, 2)",GHOSTS,11,"(400,)",False,"He, not the president, is said to haunt Ford's Theater in Washington, D.C.",John Wilkes Booth,1,0
261,1985-09-09,First game of Season 2. Returning champions (for this week...,Double Jeopardy,"(1, 3)",FASHION DESIGNERS,15,"(600,)",False,Austrian princess who created the look of the simple wrap jersey dress of the '70s,Diane von Furstenburg,1,1
261,1985-09-09,First game of Season 2. Returning champions (for this week...,Double Jeopardy,"(2, 3)",THE RENAISSANCE,28,"(600,)",False,"Some say he based the ruthless ruler in ""The Prince"" on Cesare Borgia",Machiavelli,1,0
261,1985-09-09,First game of Season 2. Returning champions (for this week...,Double Jeopardy,"(3, 3)",4-LETTER WORDS,14,"(1600,)",True,1st four-letter word in the Lord's Prayer,name,1,0
261,1985-09-09,First game of Season 2. Returning champions (for this week...,Double Jeopardy,"(4, 3)",LAW,6,"(600,)",False,Court session when a prisoner hears charges against him & enters plea,arraignment,1,0
261,1985-09-09,First game of Season 2. Returning champions (for this week...,Double Jeopardy,"(5, 3)",NEW ENGLAND,1,"(600,)",False,The first & last of 6 New England-born presidents both had this first name,John,1,0
261,1985-09-09,First game of Season 2. Returning champions (for this week...,Double Jeopardy,"(6, 3)",GHOSTS,12,"(600,)",False,"At Windsor Castle, this Tudor queen supposedly haunts the queen's library",Elizabeth I,1,0
261,1985-09-09,First game of Season 2. Returning champions (for this week...,Double Jeopardy,"(1, 4)",FASHION DESIGNERS,16,"(800,)",False,American designer Willi Smith's ready-to-wear label,Williwear,1,0
261,1985-09-09,First game of Season 2. Returning champions (for this week...,Double Jeopardy,"(3, 4)",4-LETTER WORDS,20,"(800,)",False,"The 9th letter in the Greek alphabet, it's come to mean ""a small amount""",iota,1,0
261,1985-09-09,First game of Season 2. Returning champions (for this week...,Double Jeopardy,"(4, 4)",LAW,7,"(1200,)",True,The Supreme Court said electrocuting someone again after the chair failed once wasn't this,cruel & unusual punishment,1,0
261,1985-09-09,First game of Season 2. Returning champions (for this week...,Double Jeopardy,"(5, 4)",NEW ENGLAND,2,"(800,)",False,"In '64, it became the 1st in the nation to have a state lottery",New Hampshire,0,3
261,1985-09-09,First game of Season 2. Returning champions (for this week...,Double Jeopardy,"(6, 4)",GHOSTS,24,"(800,)",False,Shakespearean monarch visited by 11 ghosts of his victims before the Battle of Bosworth Field,Richard III,1,0
261,1985-09-09,First game of Season 2. Returning champions (for this week...,Double Jeopardy,"(1, 5)",FASHION DESIGNERS,17,"(1000,)",False,"Although over 80, she's still consulting editor of Vogue magazine",Diana Vreeland,1,0
261,1985-09-09,First game of Season 2. Returning champions (for this week...,Double Jeopardy,"(2, 5)",THE RENAISSANCE,29,"(1000,)",False,His brilliant 16th century translation of the Bible into German became the basis for modern German,Martin Luther,0,3
261,1985-09-09,First game of Season 2. Returning champions (for this week...,Double Jeopardy,"(3, 5)",4-LETTER WORDS,21,"(1000,)",False,"Spelled forward it's how you feel, backwards it spells disaster",mood or doom,1,0
261,1985-09-09,First game of Season 2. Returning champions (for this week...,Double Jeopardy,"(4, 5)",LAW,8,"(1000,)",False,Specific purpose stated in 2nd Amendment for right to bear arms,for the furnishment of a militia,1,0
261,1985-09-09,First game of Season 2. Returning champions (for this week...,Double Jeopardy,"(5, 5)",NEW ENGLAND,3,"(1000,)",False,"Sikorsky built 1st one-rotor helicopter in this state, which still makes most helicopters",Connecticut,1,1
261,1985-09-09,First game of Season 2. Returning champions (for this week...,Double Jeopardy,"(6, 5)",GHOSTS,25,"(1000,)",False,"A hideous Arabian ghost who steals corpses, it's come to mean any grave robber",ghoul,1,0
261,1985-09-09,First game of Season 2. Returning champions (for this week...,Final Jeopardy,"(1, 1)",WOMEN IN SPORTS,0,"(2199, 2200, 5200)",False,"Among the women prominent in this sport are Rachel McLish, Lori Bowen & Cory Everson",bodybuilding,1,2
276,1985-09-30,Chuck Forrest game 1. Dane's exact number of previous games...,Jeopardy,"(1, 1)",PRIMATES,8,"(100,)",False,"Ape found on Sumatra, Borneo, & in ""Every Which Way But Loose""",Orangutan,1,0
276,1985-09-30,Chuck Forrest game 1. Dane's exact number of previous games...,Jeopardy,"(2, 1)",FOOD,9,"(100,)",False,Sponge cake baked in the form of a female digit,lady fingers,1,0
276,1985-09-30,Chuck Forrest game 1. Dane's exact number of previous games...,Jeopardy,"(3, 1)","""ROCK"" & ""ROLL"" SONGS",11,"(100,)",False,"The 1st line of the chorus of the ""Beer Barrel Polka""",Roll out the barrel,1,0
276,1985-09-30,Chuck Forrest game 1. Dane's exact number of previous games...,Jeopardy,"(4, 1)",SPORTS STADIUMS,1,"(100,)",False,Artificial grass named for the site of its 1st installation,AstroTurf,1,0
276,1985-09-30,Chuck Forrest game 1. Dane's exact number of previous games...,Jeopardy,"(5, 1)",WORLD CAPITALS,2,"(100,)",False,"Half a city, it's capital of East Germany",East Berlin,1,0
276,1985-09-30,Chuck Forrest game 1. Dane's exact number of previous games...,Jeopardy,"(6, 1)",PLANT NAMES,26,"(100,)",False,"From Greek ""krokos"", meaning saffron which this flower produces",crocus,1,0
276,1985-09-30,Chuck Forrest game 1. Dane's exact number of previous games...,Jeopardy,"(1, 2)",PRIMATES,16,"(200,)",False,"Old world monkeys are both arboreal & ground-dwelling, but all new world monkeys are this type",arboreal,1,0
276,1985-09-30,Chuck Forrest game 1. Dane's exact number of previous games...,Jeopardy,"(2, 2)",FOOD,10,"(200,)",False,Towering snack named for comic strip character whose nocturnal noshes cleaned out the fridge,Dagwood sandwich,1,0
276,1985-09-30,Chuck Forrest game 1. Dane's exact number of previous games...,Jeopardy,"(3, 2)","""ROCK"" & ""ROLL"" SONGS",13,"(200,)",False,How love was for Ashford & Simpson in 1985,"""Solid""",1,0
276,1985-09-30,Chuck Forrest game 1. Dane's exact number of previous games...,Jeopardy,"(4, 2)",SPORTS STADIUMS,6,"(200,)",False,N.Y. stadium that now seats 13000 fewer people than it did 15 years ago,Yankee Stadium,1,0
276,1985-09-30,Chuck Forrest game 1. Dane's exact number of previous games...,Jeopardy,"(5, 2)",WORLD CAPITALS,3,"(200,)",False,"The only national capital to begin with a ""Q"" is this, Ecuador's",Quito,1,0
276,1985-09-30,Chuck Forrest game 1. Dane's exact number of previous games...,Jeopardy,"(6, 2)",PLANT NAMES,27,"(200,)",False,"From Turkish for ""turban"", these flowers were 1st grown in Turkey, not Holland",tulip,1,0
276,1985-09-30,Chuck Forrest game 1. Dane's exact number of previous games...,Jeopardy,"(1, 3)",PRIMATES,17,"(300,)",False,"Primate Desmond Morris called ""the naked ape""",man,1,0
276,1985-09-30,Chuck Forrest game 1. Dane's exact number of previous games...,Jeopardy,"(2, 3)",FOOD,21,"(300,)",False,"From German for ""little cake"", the Lorraine style includes cheese & bacon bits",quiche,1,0
276,1985-09-30,Chuck Forrest game 1. Dane's exact number of previous games...,Jeopardy,"(3, 3)","""ROCK"" & ""ROLL"" SONGS",14,"(300,)",False,"Chuck Berry's way of saying ""Step aside, Ludwig""","""Roll Over Beethoven""",1,0
276,1985-09-30,Chuck Forrest game 1. Dane's exact number of previous games...,Jeopardy,"(4, 3)",SPORTS STADIUMS,12,"(300,)",False,Three Rivers Stadium is located where 3 rivers meet in this city,Pittsburgh,1,0
276,1985-09-30,Chuck Forrest game 1. Dane's exact number of previous games...,Jeopardy,"(5, 3)",WORLD CAPITALS,4,"(300,)",False,"While Paris is on the Seine, this Belgian capital is on the Senne",Brussels,1,0
276,1985-09-30,Chuck Forrest game 1. Dane's exact number of previous games...,Jeopardy,"(6, 3)",PLANT NAMES,28,"(300,)",False,"From Latin ""nasus tortium"" meaning twisted nose, due to this plant's pungent qualities",nasturtium,1,0
276,1985-09-30,Chuck Forrest game 1. Dane's exact number of previous games...,Jeopardy,"(1, 4)",PRIMATES,18,"(400,)",False,At 3 times proportional size of any other primate the tarsier has a colossal pair of these,eyes,1,0
276,1985-09-30,Chuck Forrest game 1. Dane's exact number of previous games...,Jeopardy,"(2, 4)",FOOD,22,"(400,)",False,"From French for ""small pan"" it's a traditional Spanish dish made of seafood & saffron flavored rice",paella,1,0
276,1985-09-30,Chuck Forrest game 1. Dane's exact number of previous games...,Jeopardy,"(3, 4)","""ROCK"" & ""ROLL"" SONGS",15,"(400,)",False,"To do this in '55, you had to ""put your glad rags on""","""Rock Around The Clock""",1,0
276,1985-09-30,Chuck Forrest game 1. Dane's exact number of previous games...,Jeopardy,"(4, 4)",SPORTS STADIUMS,23,"(400,)",False,"Sellouts have been the rule for years at this, the Washington Redskins' home stadium",R.F.K. Stadium,1,0
276,1985-09-30,Chuck Forrest game 1. Dane's exact number of previous games...,Jeopardy,"(5, 4)",WORLD CAPITALS,5,"(400,)",False,In 1979 Soviet troops began occupying this Afghan capital,Kabul,1,0
276,1985-09-30,Chuck Forrest game 1. Dane's exact number of previous games...,Jeopardy,"(1, 5)",PRIMATES,19,"(500,)",True,"Primate ""preacher"" who marries the following:""'Aba daba daba daba daba daba daba' said the monkey to the chimp.""",the big baboon,0,1
276,1985-09-30,Chuck Forrest game 1. Dane's exact number of previous games...,Jeopardy,"(2, 5)",FOOD,25,"(500,)",False,"The Indonesian smorgasbord, ""Rijsttafel"", means this",rice table,1,0
276,1985-09-30,Chuck Forrest game 1. Dane's exact number of previous games...,Jeopardy,"(3, 5)","""ROCK"" & ""ROLL"" SONGS",20,"(500,)",False,1 of 2 Paul Simon hits that fit this category,"""I Am A Rock"" (or ""Loves Me Like A Rock"")",1,0
276,1985-09-30,Chuck Forrest game 1. Dane's exact number of previous games...,Jeopardy,"(4, 5)",SPORTS STADIUMS,24,"(500,)",False,World's largest indoor stadium is the domed one in this city,New Orleans,1,0
276,1985-09-30,Chuck Forrest game 1. Dane's exact number of previous games...,Jeopardy,"(5, 5)",WORLD CAPITALS,7,"(500,)",False,"Harare, capital of Zimbabwe, was called this when the country was Rhodesia",Salisbury,1,0
276,1985-09-30,Chuck Forrest game 1. Dane's exact number of previous games...,Double Jeopardy,"(1, 1)",AMERICAN LITERATURE,11,"(200,)",False,"Cheek color of Whittier's ""Barefoot Boy""",tan,1,0
276,1985-09-30,Chuck Forrest game 1. Dane's exact number of previous games...,Double Jeopardy,"(2, 1)",MOVIE TRIVIA,15,"(200,)",False,Bela Lugosi was reportedly buried in the cape he wore for this role,Dracula,1,0
276,1985-09-30,Chuck Forrest game 1. Dane's exact number of previous games...,Double Jeopardy,"(3, 1)",ENERGY,13,"(200,)",False,"In 1806, brine well drillers in Virginia were mad when this came up with the salt water",oil,1,0
276,1985-09-30,Chuck Forrest game 1. Dane's exact number of previous games...,Double Jeopardy,"(4, 1)",WEST VIRGINIA,9,"(200,)",False,"Block Bros. of Wheeling made ""Mail Pouch"" a popular brand of this",chewing tobacco,1,0
276,1985-09-30,Chuck Forrest game 1. Dane's exact number of previous games...,Double Jeopardy,"(5, 1)",PEOPLE,1,"(200,)",False,"Actress whose exercise plan is called ""The Body Principal""",Victoria Principal,1,0
