season,epNum,gameId,date,contestants,info
35,7840,6124,2018-10-12,Alex Schmidt vs. Ryan Vesledahl vs. Alan Dunn,
35,7839,6123,2018-10-11,Alex Schmidt vs. Patrick Wyman vs. Kristina Johnson,
35,7838,6122,2018-10-10,Alex Schmidt vs. Mary Adolph vs. Chris Wong,
35,7837,6121,2018-10-09,Alex Schmidt vs. Jen Aronoff vs. Greg Antoine,
35,7836,6120,2018-10-08,Adam Francois Watkins vs. Alex Schmidt vs. Lee Glazer,
35,7835,6119,2018-10-05,Sara Butner vs. Maureen Block vs. Adam Francois Watkins,
35,7834,6118,2018-10-04,Doug Dodson vs. Kian Barry vs. Sara Butner,
35,7833,6117,2018-10-03,Doug Dodson vs. Maggie Beazer vs. Susan Donnelly-Kaye,
35,7832,6116,2018-10-02,Doug Dodson vs. Cody Landis vs. Kirsten Morry,
35,7831,6115,2018-10-01,Andrew Knudsen vs. Carl Conway vs. Doug Dodson,
35,7830,6114,2018-09-28,Evelyn Rubin vs. Andrew Knudsen vs. Barbara Gooby,
35,7829,6113,2018-09-27,Evelyn Rubin vs. Michael Pascuzzi vs. Katie Lombardo,
35,7828,6112,2018-09-26,Nancy Schoppa vs. Evelyn Rubin vs. Jordan Boyd-Graber Ying,
35,7827,6111,2018-09-25,Nancy Schoppa vs. Vincent Valenzuela vs. Courtney Llewellyn,
35,7826,6110,2018-09-24,Rob Salerno vs. William Benson vs. Nancy Schoppa,
35,7825,6107,2018-09-21,Kyle Jones vs. Rob Salerno vs. Dino Alexander,Kyle Jones game 8.
35,7824,6106,2018-09-20,Kyle Jones vs. Bucky McMahon vs. Amanda Levreault,Kyle Jones game 7. Alex is clean-shaven.
35,7823,6105,2018-09-19,Kyle Jones vs. Jonathan Lau vs. Jordan Moore,Kyle Jones game 6. Alex has a mustache.
35,7822,6103,2018-09-18,Kyle Jones vs. Emily Brown vs. Raymond Quianzon,Kyle Jones game 5. Alex has a goatee.
35,7821,6102,2018-09-17,Kyle Jones vs. Christine O'Donnell vs. Reese Wallace,Kyle Jones game 4.
35,7820,6101,2018-09-14,Kyle Jones vs. Riley Westmoreland vs. Andrew Lundy,Kyle Jones game 3.
35,7819,6099,2018-09-13,Kyle Jones vs. Shawn Moore vs. Lauren Stripling,Kyle Jones game 2.
35,7818,6098,2018-09-12,Lori Goodman vs. Kyle Jones vs. Monica Couch,Kyle Jones game 1.
35,7817,6097,2018-09-11,Rick Terpstra vs. Lori Goodman vs. Becky Warren,
35,7816,6096,2018-09-10,Rick Terpstra vs. Isaac Loeb vs. Caitlin Sok,First game of Season 35. New opening graphics. Alex has...
34,7815,6079,2018-07-27,Rick Terpstra vs. Karla Nickels vs. Jerry Tsai,Last game of Season 34.
34,7814,6078,2018-07-26,Burt Westermeier vs. Ian Flynn vs. Rick Terpstra,
34,7813,6075,2018-07-25,Dave Mattingly vs. Burt Westermeier vs. Ron Freshour,
34,7812,6069,2018-07-24,Dave Mattingly vs. Beth Schoenbach vs. Tara O'Byrne,
34,7811,6066,2018-07-23,Dave Mattingly vs. Hollie Schmidt vs. Neel Kotra,
34,7810,6063,2018-07-20,Ryan Fenster vs. Emily Moore vs. Dave Mattingly,Ryan Fenster game 8.
34,7809,6062,2018-07-19,Ryan Fenster vs. Justin Moody vs. Michelle Mueckler,Ryan Fenster game 7.
34,7808,6060,2018-07-18,Ryan Fenster vs. Kyle Adams vs. Caitlion O'Neill,Ryan Fenster game 6.
34,7807,6057,2018-07-17,Michelle Cabral vs. Bunny Miller vs. Ryan Fenster,Ryan Fenster game 5-B.
34,7806,6055,2018-07-16,Michelle Cabral vs. Niraj Dhami vs. Rebecca Smith,
34,7805,6053,2018-07-13,Michelle Cabral vs. Vincent Valenzuela vs. Bryan Rucker,The Final Jeopardy! screen displays the clue incorrectly in the...
34,7804,6052,2018-07-12,Wes Hazard vs. Michelle Cabral vs. Johanna Schaufeld,
34,7803,6049,2018-07-11,Wes Hazard vs. George Holcomb vs. Stel Plakas,
34,7802,6046,2018-07-10,Wes Hazard vs. Becky Wilson vs. Doug Dworkin,
34,7801,6044,2018-07-09,Lauren Kiehna vs. Wes Hazard vs. Ray Coshow,
34,7800,6041,2018-07-06,Marilyn Maher vs. Beth Feest vs. Lauren Kiehna,
34,7799,6040,2018-07-05,Suzanne Koppelman vs. Marilyn Maher vs. Steve Spriensma,
34,7798,6039,2018-07-04,Suzanne Koppelman vs. Liz Howard vs. Kate Brandt,
34,7797,6037,2018-07-03,Suzanne Koppelman vs. Jim McGinnis vs. Dave Baltmanis,
34,7796,6036,2018-07-02,Scott McFadden vs. Adam Scholze vs. Suzanne Koppelman,
34,7795,6035,2018-06-29,Scott McFadden vs. Ruth Payne vs. Nick Hurwitz,
34,7794,6034,2018-06-28,Scott McFadden vs. Frank Young vs. Kat Long,
34,7793,6033,2018-06-27,Andrew King vs. Amy Goodchild vs. Scott McFadden,
34,7792,6029,2018-06-26,Kelly Griffin vs. Jeff Witte vs. Andrew King,
34,7791,6027,2018-06-25,Jordan Nussbaum vs. Ben Henry-Moreland vs. Kelly Griffin,
34,7790,6025,2018-06-22,Ali Hasan vs. Jordan Nussbaum vs. Amanda Graver,
34,7789,6024,2018-06-21,Ali Hasan vs. Justin Cosgrove vs. Deb Seltzer,
34,7788,6023,2018-06-20,Ali Hasan vs. Lindsay Garces vs. Tyler Dilts,
34,7787,6019,2018-06-19,Deirdre Thomas vs. Jessica Rea vs. Ali Hasan,
34,7786,6017,2018-06-18,Deirdre Thomas vs. Sara Nies vs. Erik Johnson,
34,7785,6015,2018-06-15,Diana Hsu vs. Deirdre Thomas vs. Jon Brown,
34,7784,6014,2018-06-14,Diana Hsu vs. Adam Manning vs. Katherine Pisarro-Grant,
34,7783,6013,2018-06-13,Catherine Ono vs. Diana Hsu vs. Nick Anspach,
34,7782,6009,2018-06-12,Catherine Ono vs. Rebecca Heide vs. Jason Downer,
34,7781,6007,2018-06-11,David Kleinman vs. Tracey Lazareth vs. Catherine Ono,
34,7780,6005,2018-06-08,Mirza Gluhic vs. David Kleinman vs. John Fassola,
