gameId,season,epNum,date,left,middle,right,winnerIndices
173,1,1,1984-09-10,Greg Hopkins,Lois Feinstein,Frank Selevan,[0]
174,1,2,1984-09-11,Greg Hopkins,Lynne Crawford,Paul Schaffer,[]
177,1,3,1984-09-12,Gunther Murley,Nancy Teri,"Michael Ellington, Jr.",[1]
179,1,4,1984-09-13,Nancy Teri,Larry Silverman,Denise Stewart,[1]
180,1,5,1984-09-14,Larry Silverman,Lorrie Farrely,Howard Wilson,[1]
338,1,9,1984-09-20,Richard Willing,Lynn Strather,Craig Hendricks,[1]
339,1,10,1984-09-21,Lynn Strather,Eric Grove,Clare Delaman,[1]
340,1,11,1984-09-24,Eric Grove,Mary Bowers,Dan Fuller,[1]
341,1,12,1984-09-25,Mary Bowers,Randy Haplan,Ed Osawa,[2]
344,1,13,1984-09-26,Ed Osawa,Deborah Kelly,Ben Camack,[0]
345,1,14,1984-09-27,Ed Osawa,Karen Olson,Larry Caplan,[2]
5234,1,15,1984-09-28,Larry Caplan,Louise Balabanian,Norm Cobb,[0]
5235,1,16,1984-10-01,Larry Caplan,Don Cameron,Elise Beraru,[2]
5236,1,17,1984-10-02,Elise Beraru,Bill Collins,Mark Day,[0]
5237,1,18,1984-10-03,Elise Beraru,Roger Gerhardstein,Margaret Magnus,[0]
5243,1,19,1984-10-04,Elise Beraru,Perry Buck,Peggy Hesketh,[0]
5238,1,20,1984-10-05,Elise Beraru,Richard Bolton,Stan Ravinsky,[]
5244,1,21,1984-10-08,Joel Davidman,Kevin Conway,Diane McCain,[2]
347,1,56,1984-11-26,Richard Landon,Leland Kennedy,Sara Maikowski,[0]
348,1,57,1984-11-27,Richard Landon,Elaine Baker,Mark Loundy,[2]
352,1,58,1984-11-28,Mark Loundy,Alice Strauss,Don Clark,[0]
353,1,59,1984-11-29,Mark Loundy,Tom McGinn,Nancy Burns,[0]
354,1,61,1984-12-03,Leslie Stucke,Daniel Elias,Nicholas Vallas,[1]
355,1,62,1984-12-04,Daniel Elias,Mary Mason,Richard Landon,[0]
356,1,63,1984-12-05,Daniel Elias,Denice Fractious,Warren Pistell,[2]
359,1,64,1984-12-06,Warren Pistell,Eva Rosenberg,Jay Mann,[2]
360,1,65,1984-12-07,Jay Mann,Amy Phillips,Ric Moser,[2]
361,1,66,1984-12-10,Ric Moser,Brian Perachet,Linda Rogers,[0]
362,1,67,1984-12-11,Ric Moser,Dale Barnes,Hal Akerman,[0]
363,1,68,1984-12-12,Ric Moser,Pat Hansen,Ralph Moore,[0]
4249,1,70,1984-12-14,Chris Hamilton,Melinda Brownfield,Bill Hand,[0]
5012,1,77,1984-12-25,Jerry Frankel,Fran,Michael,[0]
5009,1,80,1984-12-28,Jerry Frankel,Emmett Maguire,Jody Johnston,[]
5544,1,81,1984-12-31,Phil Wilson,Liz Caccese,Mike Pick,[1]
5018,1,84,1985-01-03,Liz Caccese,Pam Linden-Dernham,Bob Mette,[0]
368,1,110,1985-02-08,Tony Hess,Pat Gaynor,Ted Brown,[1]
4592,1,126,1985-03-04,Bruce Fauman,Yvonne Buchanan,Bob Boed,[0]
5587,1,138,1985-03-20,Paula Tupper,Rich Perloff,Sheree Nelson,[0]
5120,1,141,1985-03-25,Steve Rogitz,Lonny Gulden,Debbi Holzinger,[0]
4529,1,153,1985-04-10,Mike Day,Monte Wasch,Mimi Schmidt,[0]
5525,1,160,1985-04-19,Matt Hubbard,Bruce Rhodewalt,Rick Sinclair,[1]
5636,1,191,1985-06-03,Michael Backus,Penny DeMille,Ron Tropsic,[0]
4233,2,261,1985-09-09,Steve Bowie,Susan Blum,Alan Lefkowitz,[1]
5803,2,269,1985-09-19,Jay Rosenberg,Ron Kars,Gail Duncan,[]
5808,2,270,1985-09-20,Cindy Judy,Jim Davis,Joe Alley,[2]
5810,2,271,1985-09-23,Joe Alley,Susan Kiner,Cyrni Rajwahl,[0]
5814,2,272,1985-09-24,Joe Alley,Rob Lai,April Zwick,[1]
246,2,276,1985-09-30,Dane Garrett,Chuck Forrest,Hilary Hill,[1]
295,2,277,1985-10-01,Chuck Forrest,MaryLou Byrne,Bob Devlin,[0]
251,2,278,1985-10-02,Chuck Forrest,Ayofemi Stowe,Mike McClain,[0]
294,2,279,1985-10-03,Chuck Forrest,Claudia Wolfe,René Garcia,[0]
297,2,280,1985-10-04,Chuck Forrest,Susan McGowan,Linda Alznauer,[0]
5604,2,295,1985-10-25,Mark Leinwand,Faye Ringel,Al Lusher,[0]
4251,2,297,1985-10-29,Mark Leinwand,Stan Siegel,Tory Metzger,[0]
4261,2,316,1985-11-25,Harvey Becker,Tony De La Rosa,Lynne Kopell,[1]
4256,2,317,1985-11-26,Tony De La Rosa,Greg Pieschala,Libby Webber,[]
4273,2,325,1985-12-06,Jared Eisenstat,Kate Thornton-Hirsch,Allan Mason,[]
4267,2,327,1985-12-10,Sister Carol Cimino,Michael deHaven Newsom,David Church,[0]
3952,2,328,1985-12-11,Sister Carol Cimino,Rocky Schmidt,Carolyn Kennedy,[1]
4254,2,335,1985-12-20,Ron Marriott,John Schroth,Norma Walch,[1]
4258,2,336,1985-12-23,John Schroth,Duane Lyons,Andrea Ladik,[2]
4260,2,337,1985-12-24,Andrea Ladik,Alexis Colicchio,Pamela Norris,[2]
5859,2,338,1985-12-25,Pamela Norris,Donna Marie Wright,Rafael Bernardino,[0]
5908,2,339,1985-12-26,Pamela Norris,Mike Wallis,Jack Brodsky,[0]
5909,2,340,1985-12-27,Pamela Norris,Dan Alves,Brenda Parks,[1]
4271,2,348,1986-01-08,Barbara Griffin,Steve Willis,Curtis Warren,[]
116,2,351,1986-01-13,Steve Willis,Nancy Smith,Gardner Stern,"[1, 2]"
4269,2,352,1986-01-14,Nancy Smith,Gardner Stern,Phyllis Grinnell,[2]
5045,2,360,1986-01-24,Ann Antell,George Lynch,Bob Danielson,[2]
5773,2,363,1986-01-29,Beryl Arbit,Alberto Isaac,Karen Stevens,[]
4284,2,366,1986-02-03,Garth Sturdevant,David Whitehorse,Dorothy Williams,[0]
2205,2,367,1986-02-04,Garth Sturdevant,Paul Rouffa,Jamie Capwell,[1]
2262,2,368,1986-02-05,Paul Rouffa,Steve Wenrick,Judy Hedden,[0]
2263,2,369,1986-02-06,Paul Rouffa,George Strine,Buff McKinley,[0]
2264,2,370,1986-02-07,Paul Rouffa,Jean Reynolds,Melody Keller,[0]
2265,2,371,1986-02-10,Paul Rouffa,Steve Lawson,Susan Fox-Davis,[]
5395,2,372,1986-02-11,Dan Green,Pat Nilsson,Miles Neff,[0]
5396,2,373,1986-02-12,Dan Green,Neil Jensen,Nancy Brough,[0]
5397,2,374,1986-02-13,Dan Green,Lori Reichart,Bob Mesch,[0]
5617,2,375,1986-02-14,Dan Green,Ben Harris,Jared,[0]
5624,2,381,1986-02-24,Joe Pipp,Jim Bell,Bobbie Harrison,[0]
4279,2,382,1986-02-25,Joe Pipp,Leslie Johnson Kelsey,Chub Feeney,[1]
4281,2,383,1986-02-26,Leslie Johnson Kelsey,Michael,Shirley,[0]
4230,2,414,1986-04-10,Donald Burgo,Kathy Collins,Mike Petrina,"[0, 1]"
1991,2,422,1986-04-22,Kurt Weldon,Randy Amasia,Susan Sanchez,[1]
1992,2,423,1986-04-23,Randy Amasia,Pam Wells,Lois Rothman,[1]
5010,2,438,1986-05-14,Stanton Korn,Joe Schmitz,Marie Peterson,[1]
4277,2,441,1986-05-19,Paul Hill,Ellen Kaufman,Lin Mueller,[0]
3377,2,446,1986-05-26,Marvin Shinkman,Robert Wargo,Francis Hambidge,[0]
4080,3,456,1986-09-08,Susan Sackett,Florence Cohen,Sandra Cheltenham,[0]
5123,3,459,1986-09-11,Fern Cogar,Steve Lipman,Tony Barreto,[0]
4089,3,460,1986-09-12,Fern Cogar,Wade Ballard,Roger Storm,[2]
6073,3,461,1986-09-15,Roger Storm,Kay Guesdon,Thomas Bernhard,[0]
6076,3,463,1986-09-17,Roger Storm,Ira Levine,Linda Leipheimer,[0]
2933,3,464,1986-09-18,Roger Storm,Karin Hofland,Marc Wade,[2]
4788,3,465,1986-09-19,Marc Wade,Ed Coyne,Tim Singer,[0]
4091,3,468,1986-09-24,Heidi Yorkshire,Don Tracy,Pat Van Hartesveldt,[1]
4490,3,469,1986-09-25,Don Tracy,Chas Wilson,Jim Bell,[0]
4094,3,471,1986-09-29,Zanete Barons,Tom Rutledge,Paul Raymond,[1]
2813,3,475,1986-10-03,Carl Brady,Ty Walker,Sharon Miyasato,[0]
3940,3,478,1986-10-08,Carl Brady,Bob Menaker,Janet DeLand,[1]
3934,3,480,1986-10-10,Steve Cowie,Dave Traini,Rosalie Hill,[1]
3501,3,482,1986-10-14,Dave Traini,Ian Barondess,Paul Schindler Jr.,[0]
6056,3,483,1986-10-15,Dave Traini,Tom Grexa,JoAnn Lum,[0]
3454,3,484,1986-10-16,Dave Traini,Elizabeth Charland,Brian Barrett,[0]
5020,3,495,1986-10-31,Jeff Suto,Rosemary Woodlock,Brad Geagley,[2]
4157,3,496,1986-11-03,Brad Geagley,Sherman Allen,Colleen Yarnell,[1]
4158,3,497,1986-11-04,Sherman Allen,Nancy Zende,Dave Maney,[2]
4918,3,499,1986-11-06,Richard Gelb,Linda Williams,Ken Harrison,[1]
4264,3,511,1986-11-24,Linda Williams,Patty Young,Jeff Ramsey,[]
